id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
129195093-F,81291654-V-F,,P,W001,NULL
129195093-WC,81291654-V-WC,,P,W001,NULL
129205085,PTTX152-V,SWT-B2,P,FT01,NULL
129205085-F,PTTX152-V-F,,P,W001,NULL
129205085-WC,PTTX152-V-WC,,P,W001,NULL
129205088,RTRNWA304WJZZ-V,SWT-B2,P,FT01,NULL
129205088-F,RTRNWA304WJZZ-V-F,,P,W001,NULL
129205088-WC,RTRNWA304WJZZ-V-WC,,P,W001,NULL
129205089,RTRNWA188WJZZ-V,SWT-C1,P,FT01,NULL
129205089-F,RTRNWA188WJZZ-V-F,,P,W001,NULL
129205089-WC,RTRNWA188WJZZ-V-WC,,P,W001,NULL
129205090,RTRNZA102WJZZ-V,SWT-B1,P,FT01,NULL
129205090-F,RTRNZA102WJZZ-V-F,,P,W001,NULL
129205090-WC,RTRNZA102WJZZ-V-WC,,P,W001,NULL
129205091,N-T01-759-Z11-V,SWT-C3,P,FT01,NULL
129205091-F,N-T01-759-Z11-V-F,,P,W001,NULL
129205091-WC,N-T01-759-Z11-V-WC,,P,W001,NULL
129205092,N-T01-696-Z12-V,SWT-C2,P,FT01,NULL
129205092-F,N-T01-696-Z12-V-F,,P,W001,NULL
129205092-WC,N-T01-696-Z12-V-WC,,P,W001,NULL
129205093,EZC003C-V,SWT-B2,P,FT01,NULL
129205093-F,EZC003C-V-F,,P,W001,NULL
129205093-WC,EZC003C-V-WC,,P,W001,NULL
129205094,EZE005B-V,SWT-A1,P,FT01,NULL
129205094-F,EZE005B-V-F,,P,W001,NULL
129205094-WC,EZE005B-V-WC,,P,W001,NULL
129205095,N-T01-756-Z11-V,SWT-C1,P,FT01,NULL
129205095-F,N-T01-756-Z11-V-F,,P,W001,NULL
129205095-WC,N-T01-756-Z11-V-WC,,P,W001,NULL
129205096,N-T01-757-Z11-V,SWT-C1,P,FT01,NULL
129205096-F,N-T01-757-Z11-V-F,,P,W001,NULL
129205096-WC,N-T01-757-Z11-V-WC,,P,W001,NULL
129205097,C-L00-430-Z11-V,SWT-A1,P,FT01,NULL
129205097-F,C-L00-430-Z11-V-F,,P,W001,NULL
129205097-WC,C-L00-430-Z11-V-WC,,P,W001,NULL
129205098,C-L00-429-Z11-V,SWT-A1,P,FT01,NULL
129205098-F,C-L00-429-Z11-V-F,,P,W001,NULL
129205098-WC,C-L00-429-Z11-V-WC,,P,W001,NULL
129205099,N-T01-773-Z11-V,SWT-B2,P,FT01,NULL
129205099-F,N-T01-773-Z11-V-F,,P,W001,NULL
129205099-WC,N-T01-773-Z11-V-WC,,P,W001,NULL
129205100,N-T01-760-Z11-V,SWT-C1,P,FT01,NULL
129205100-F,N-T01-760-Z11-V-F,,P,W001,NULL
129205100-WC,N-T01-760-Z11-V-WC,,P,W001,NULL
129205101,RTRNZA133WJZZ-V,SWT-A1,P,FT01,NULL
129205101-F,RTRNZA133WJZZ-V-F,,P,W001,NULL
129205101-WC,RTRNZA133WJZZ-V-WC,,P,W001,NULL
129205102,RCILCA210WJZZ-V,SWT-A1,P,FT01,NULL
129205102-F,RCILCA210WJZZ-V-F,,P,W001,NULL
129205102-WC,RCILCA210WJZZ-V-WC,,P,W001,NULL
129205104,PTTX178-V,SWT-A2,P,FT01,NULL
129205104-F,PTTX178-V-F,,P,W001,NULL
129205104-WC,PTTX178-V-WC,,P,W001,NULL
129205106,N-T01-841-Z11-V,SWT-C1,P,FT01,NULL
129205106-F,N-T01-841-Z11-V-F,,P,W001,NULL
129205106-WC,N-T01-841-Z11-V-WC,,P,W001,NULL
129205108,N-T01-845-Z12-V,SWT-C3,P,FT01,NULL
129205108-F,N-T01-845-Z12-V-F,,P,W001,NULL
129205108-WC,N-T01-845-Z12-V-WC,,P,W001,NULL
129205109,N-T01-845-Z13-V,SWT-C3,P,FT01,NULL
129205109-F,N-T01-845-Z13-V-F,,P,W001,NULL
129205109-WC,N-T01-845-Z13-V-WC,,P,W001,NULL
129205111,EZC006A-V,SWT-B1,P,FT01,NULL
129205111-F,EZC006A-V-F,,P,W001,NULL
129205111-WC,EZC006A-V-WC,,P,W001,NULL
129205112,N-T01-897-Z11-V,SWT-B3,P,FT01,NULL
129205112-F,N-T01-897-Z11-V-F,,P,W001,NULL
129205112-WC,N-T01-897-Z11-V-WC,,P,W001,NULL
129205120,RTRNWA417WJZZ-V,SWT-B1,P,FT01,NULL
129205120-F,RTRNWA417WJZZ-V-F,,P,W001,NULL
129205120-WC,RTRNWA417WJZZ-V-WC,,P,W001,NULL
129205121,N-T01-953-Z11-V,SWT-B2,P,FT01,NULL
129205121-F,N-T01-953-Z11-V-F,,P,W001,NULL
129205121-WC,N-T01-953-Z11-V-WC,,P,W001,NULL
129205122,EZA010A-V,SWT-A1,P,FT01,NULL
129205122-F,EZA010A-V-F,,P,W001,NULL
129205122-WC,EZA010A-V-WC,,P,W001,NULL
129205123,EZF008F-V,SWT-B1,P,FT01,NULL
129205123-F,EZF008F-V-F,,P,W001,NULL
129205123-WC,EZF008F-V-WC,,P,W001,NULL
129205124,EZF012D-V,SWT-A1,P,FT01,NULL
129205124-F,EZF012D-V-F,,P,W001,NULL
129205124-WC,EZF012D-V-WC,,P,W001,NULL
129205125,G4DYA0000549-V,SWT-A2,P,FT01,NULL
129205125-F,G4DYA0000549-V-F,,P,W001,NULL
129205125-WC,G4DYA0000549-V-WC,,P,W001,NULL
129205126,G4DYA0000550-V,SWT-C1,P,FT01,NULL
129205126-F,G4DYA0000550-V-F,,P,W001,NULL
129205126-WC,G4DYA0000550-V-WC,,P,W001,NULL
129205127,G4DYA0000608-V,SWT-B1,P,FT01,NULL
129205127-F,G4DYA0000608-V-F,,P,W001,NULL
129205127-WC,G4DYA0000608-V-WC,,P,W001,NULL
129215024,PTTJ118-V,SWT-C2,P,FT01,NULL
129215024-F,PTTJ118-V-F,,P,W001,NULL
129215024-WC,PTTJ118-V-WC,,P,W001,NULL
129215025,PTWJ003-V,SWT-B2,P,FT01,NULL
129215025-F,PTWJ003-V-F,,P,W001,NULL
129215025-WC,PTWJ003-V-WC,,P,W001,NULL
129215026,PTWJ007-V,SWT-C1,P,FT01,NULL
129215026-F,PTWJ007-V-F,,P,W001,NULL
129215026-WC,PTWJ007-V-WC,,P,W001,NULL
129215027,PTWJ010-V,SWT-C1,P,FT01,NULL
129215027-F,PTWJ010-V-F,,P,W001,NULL
129215027-WC,PTWJ010-V-WC,,P,W001,NULL
129215028,PTWJ012-V,SWT-C2,P,FT01,NULL
129215028-F,PTWJ012-V-F,,P,W001,NULL
129215028-WC,PTWJ012-V-WC,,P,W001,NULL
129215029,PTWJ013-V,SWT-B2,P,FT01,NULL
129215029-F,PTWJ013-V-F,,P,W001,NULL
129215029-WC,PTWJ013-V-WC,,P,W001,NULL
129215030,PTWJ014-V,SWT-A2,P,FT01,NULL
129215030-F,PTWJ014-V-F,,P,W001,NULL
129215030-WC,PTWJ014-V-WC,,P,W001,NULL
129215034,PTTJ207-V,SWT-B2,P,FT01,NULL
